age,gender,study_hours,attendance,prev_grade,parent_education,internet_access,extra_classes,sleep_hours,stress_level,assignments_done,library_visits,sports,part_time_job,final_grade,pass_fail,grade_category
21,Female,7.3,59.4,89,Bachelor,0,1,9.4,High,1,8,0,0,67.7,1,B
18,Male,1.9,79.9,77,Bachelor,0,0,7.5,Medium,15,14,0,0,67.9,1,B
19,Female,8.6,73.4,62,Bachelor,1,0,6.1,High,7,4,1,1,72.5,1,B
21,Female,8.2,60.6,98,Bachelor,0,1,5.4,Low,5,0,0,0,86.4,1,A
17,Male,5.4,48.1,65,Bachelor,0,1,7.7,Low,12,3,0,1,65.3,1,B
19,Male,7.1,45.7,90,Master,1,0,7.1,Low,0,5,0,0,78.4,1,B
19,Female,3.1,89.9,50,High School,0,0,9.9,Medium,18,5,0,0,73.0,1,B
21,Male,4.7,95.1,67,Bachelor,1,1,9.9,High,14,8,0,0,99.2,1,A
16,Female,8.2,79.0,95,Master,1,1,7.8,Medium,0,9,1,0,98.1,1,A
17,Female,4.6,46.2,41,High School,1,1,6.7,High,9,12,1,0,48.0,1,D
21,Female,3.6,64.1,98,None,1,1,6.9,Medium,0,4,0,0,71.0,1,B
17,Female,4.9,83.7,47,Bachelor,1,0,8.1,Low,11,4,0,1,71.5,1,B
17,Male,8.3,86.8,68,Master,1,1,4.6,High,10,5,0,0,82.5,1,A
19,Male,3.4,47.1,50,None,1,0,6.0,Medium,16,10,0,0,64.3,1,C
18,Male,1.7,40.0,76,Master,1,1,4.5,High,3,5,0,0,37.9,0,F
17,Male,7.1,82.7,57,High School,0,1,4.4,High,6,2,0,0,57.8,1,C
20,Female,8.3,61.4,94,High School,0,1,5.2,Medium,11,5,0,0,94.6,1,A
19,Female,1.0,55.3,89,None,1,0,6.9,Medium,12,7,0,0,60.3,1,C
16,Male,2.4,40.8,53,Master,1,0,8.7,High,4,11,0,1,32.0,0,F
18,Female,1.4,72.4,93,Bachelor,1,1,6.9,High,5,5,0,0,62.4,1,C
20,Female,3.5,91.1,49,Bachelor,1,1,6.0,Low,1,11,0,1,84.1,1,A
20,Female,4.5,97.5,74,None,0,1,4.5,High,6,10,0,0,71.7,1,B
16,Male,7.5,73.9,48,None,1,0,7.3,Low,13,4,1,0,81.8,1,A
18,Male,6.5,70.9,74,None,1,0,5.6,Low,13,2,0,0,81.0,1,A
19,Male,6.2,45.1,50,Master,1,1,7.7,Low,9,0,0,1,65.3,1,B
15,Female,3.5,72.9,83,Bachelor,1,0,9.9,High,3,4,0,0,58.6,1,C
18,Male,8.4,62.8,51,Bachelor,1,1,4.7,Low,2,5,0,0,72.9,1,B
16,Male,4.7,76.4,42,Bachelor,1,0,5.3,High,13,13,1,0,72.9,1,B
20,Male,9.8,63.3,92,None,0,1,6.8,High,5,5,1,1,80.2,1,A
19,Male,6.3,54.4,78,Bachelor,1,1,9.8,Medium,14,13,0,1,100.0,1,A
18,Male,1.3,45.7,53,High School,1,1,8.6,High,7,5,1,0,49.7,1,D
15,Male,6.8,58.9,95,None,1,0,9.4,High,4,2,0,0,73.9,1,B
15,Female,3.3,45.8,67,Bachelor,1,1,6.0,Low,2,14,0,1,66.8,1,B
17,Female,6.9,50.6,50,Master,0,0,10.0,High,2,3,0,1,42.9,1,D
17,Male,0.7,99.2,78,None,1,1,4.6,High,12,14,1,0,77.5,1,B
21,Male,1.7,66.6,64,High School,1,0,4.3,Medium,1,2,0,1,44.7,1,D
16,Female,8.6,71.9,60,High School,0,0,9.1,Medium,0,1,1,0,76.2,1,B
18,Female,2.3,92.4,49,Master,1,0,9.6,Low,11,7,0,0,88.2,1,A
18,Male,8.4,99.7,82,Master,1,0,4.5,Low,7,6,0,0,96.0,1,A
21,Male,2.8,75.0,54,None,1,1,4.7,Medium,18,10,1,0,71.2,1,B
20,Male,6.4,88.7,58,None,1,0,4.2,Medium,8,7,1,0,73.3,1,B
20,Male,6.9,59.6,87,High School,1,1,4.6,High,13,12,1,0,89.1,1,A
21,Female,5.1,58.3,61,Master,1,1,5.3,Low,17,5,1,0,85.6,1,A
20,Male,3.1,64.2,60,None,1,0,9.8,Low,9,10,0,0,69.5,1,B
17,Male,2.1,80.4,99,High School,1,1,8.0,High,8,14,0,0,81.8,1,A
18,Male,0.3,80.9,91,Master,1,0,8.7,High,5,11,0,0,56.7,1,C
21,Male,3.0,58.9,83,High School,0,0,8.7,Low,0,14,0,1,60.3,1,C
18,Female,6.5,48.0,71,Bachelor,1,0,7.2,Medium,4,13,1,0,74.6,1,B
15,Female,9.4,77.9,89,Master,1,1,8.8,Medium,9,6,1,0,100.0,1,A
17,Female,8.7,47.7,62,None,1,0,7.6,High,12,0,1,0,67.3,1,B
19,Male,7.7,74.7,52,None,1,1,5.9,Low,3,9,0,1,78.1,1,B
17,Male,7.9,81.6,44,Bachelor,1,1,7.4,High,0,4,1,0,68.6,1,B
21,Female,6.6,82.0,43,Master,1,1,7.2,Medium,1,3,1,0,80.1,1,A
19,Male,2.6,85.2,67,High School,1,0,8.9,Medium,3,9,0,1,67.1,1,B
15,Male,9.1,92.4,53,None,0,1,9.9,High,16,2,0,0,95.3,1,A
21,Female,6.7,70.0,47,Bachelor,0,1,6.5,Medium,9,1,1,0,75.0,1,B
16,Female,5.6,83.8,48,Bachelor,1,1,8.6,Low,11,13,0,0,100.0,1,A
